project_id,project_name,ministry,sector,status,original_cost_cr,revised_cost_cr,expenditure_cr,physical_progress_pct,planned_duration_months,milestone_slip_months,spend_deviation_pct,cost_overrun_pct,progress_variance,start_date,planned_end_date,cost_risk,delay_risk,overall_risk
PRJ-0001,Health Infra Project 1,"Ministry of Ports, Shipping & Waterways",Health Infra,Completed,64.44,72.48,71.63,96.5,35,0.4,2.3,12.5,2.3,2025-01-07,2027-11-23,0,0,0
PRJ-0002,Water Supply Project 2,Ministry of Heavy Industries,Water Supply,Delayed,129.26,229.95,77.31,48.2,58,5.4,-14.5,77.9,14.5,2025-07-16,2030-04-21,1,0,1
PRJ-0003,Education Infra Project 3,Ministry of Jal Shakti,Education Infra,Completed,2429.22,3021.2,2881.14,99.5,31,0.0,-4.2,24.4,4.2,2024-04-01,2026-10-18,0,0,0
PRJ-0004,Coal Mining Project 4,Ministry of Civil Aviation,Coal Mining,Delayed,907.23,929.96,766.12,65.3,55,21.3,17.1,2.5,17.1,2024-06-10,2028-12-16,0,1,1
PRJ-0005,Rural Roads Project 5,Ministry of Petroleum & Natural Gas,Rural Roads,Completed,4059.83,7194.85,6805.24,95.1,56,0.0,-0.5,77.2,0.5,2024-02-10,2028-09-16,1,0,1
PRJ-0006,Power Generation Project 6,Ministry of Petroleum & Natural Gas,Power Generation,Completed,565.74,860.41,890.82,98.2,20,0.0,5.3,52.1,5.3,2024-02-02,2025-09-24,1,0,1
PRJ-0007,Power Generation Project 7,Ministry of Road Transport & Highways,Power Generation,Ongoing,786.47,1139.61,873.82,66.4,50,0.0,10.3,44.9,10.3,2025-01-27,2029-03-07,1,0,1
PRJ-0008,Water Supply Project 8,"Ministry of Ports, Shipping & Waterways",Water Supply,Ongoing,723.6,867.91,415.13,54.6,54,0.8,-6.7,19.9,6.7,2025-06-24,2029-11-30,0,0,0
PRJ-0009,Coal Mining Project 9,Ministry of Railways,Coal Mining,Completed,733.98,1205.88,1210.95,96.4,41,0.0,4.1,64.3,4.1,2024-11-26,2028-04-09,1,0,1
PRJ-0010,Oil & Gas Project 10,Department of Telecommunications,Oil & Gas,Ongoing,284.98,395.51,278.42,31.7,53,0.2,38.7,38.8,38.7,2025-11-14,2030-03-23,1,1,1
PRJ-0011,Water Supply Project 11,Ministry of Rural Development,Water Supply,Ongoing,652.92,1024.96,275.17,28.8,67,3.9,-2.0,57.0,2.0,2024-03-21,2029-09-21,1,0,1
PRJ-0012,Roads & Highways Project 12,Ministry of Road Transport & Highways,Roads & Highways,Ongoing,234.71,419.78,144.26,16.3,15,0.0,18.1,78.9,18.1,2025-03-14,2026-06-07,1,0,1
PRJ-0013,Urban Development Project 13,Ministry of Railways,Urban Development,Ongoing,452.55,507.12,282.24,80.1,27,0.0,-24.4,12.1,24.4,2024-12-14,2027-03-04,1,0,1
PRJ-0014,Oil & Gas Project 14,"Ministry of Ports, Shipping & Waterways",Oil & Gas,Delayed,515.25,571.94,241.84,68.9,36,8.1,-26.7,11.0,26.7,2024-05-30,2027-05-15,1,1,1
PRJ-0015,Railways Project 15,Ministry of Rural Development,Railways,Under Review,385.03,682.4,407.14,83.6,43,6.2,-24.0,77.2,24.0,2024-01-09,2027-07-22,1,1,1
PRJ-0016,Water Supply Project 16,Ministry of Chemicals & Fertilizers,Water Supply,Ongoing,186.41,320.41,203.51,69.6,46,10.0,-6.1,71.9,6.1,2024-04-21,2028-01-31,1,1,1
PRJ-0017,Oil & Gas Project 17,Ministry of Health & Family Welfare,Oil & Gas,Ongoing,432.08,438.33,238.94,59.0,59,1.5,-4.5,1.4,4.5,2025-05-18,2030-03-23,0,0,0
PRJ-0018,Urban Development Project 18,Ministry of Agriculture,Urban Development,Under Review,99.04,137.61,120.39,89.5,38,2.5,-2.0,38.9,2.0,2024-08-13,2027-09-27,1,0,1
PRJ-0019,Power Generation Project 19,Ministry of Jal Shakti,Power Generation,Completed,37.15,38.45,38.13,96.7,41,3.8,2.5,3.5,2.5,2025-04-21,2028-09-02,0,0,0
PRJ-0020,Power Generation Project 20,Ministry of Road Transport & Highways,Power Generation,Ongoing,260.02,375.84,337.85,29.0,69,2.7,60.9,44.5,60.9,2024-11-18,2030-07-20,1,1,1
PRJ-0021,Water Supply Project 21,Ministry of Railways,Water Supply,Completed,62.08,68.87,63.4,95.4,50,0.0,-3.3,10.9,3.3,2025-04-21,2029-05-30,0,0,0
PRJ-0022,Education Infra Project 22,Ministry of Petroleum & Natural Gas,Education Infra,Completed,443.19,758.74,726.31,97.7,39,0.8,-2.0,71.2,2.0,2024-12-19,2028-03-03,1,0,1
PRJ-0023,Urban Development Project 23,Ministry of Steel,Urban Development,Ongoing,269.41,385.17,158.43,71.8,19,0.0,-30.7,43.0,30.7,2024-02-22,2025-09-14,1,1,1
PRJ-0024,Agriculture Infra Project 24,Ministry of Health & Family Welfare,Agriculture Infra,Under Review,406.17,638.37,116.73,20.8,67,9.6,-2.5,57.2,2.5,2025-08-26,2031-02-26,1,1,1
PRJ-0025,Roads & Highways Project 25,Ministry of Road Transport & Highways,Roads & Highways,Ongoing,108.54,129.36,29.12,43.1,36,9.1,-20.6,19.2,20.6,2025-05-02,2028-04-16,1,1,1
PRJ-0026,Telecom Project 26,Ministry of Power,Telecom,Delayed,140.4,158.22,38.94,44.5,40,2.9,-19.9,12.7,19.9,2024-08-07,2027-11-20,0,0,0
PRJ-0027,Irrigation Project 27,Ministry of Road Transport & Highways,Irrigation,Ongoing,1558.81,1615.31,726.39,64.2,69,6.1,-19.2,3.6,19.2,2025-10-20,2031-06-21,0,1,1
PRJ-0028,Railways Project 28,Ministry of Health & Family Welfare,Railways,Ongoing,531.97,776.88,357.78,40.3,71,2.8,5.8,46.0,5.8,2025-06-28,2031-04-28,1,0,1
PRJ-0029,Ports Project 29,Ministry of Road Transport & Highways,Ports,Stalled,342.81,362.33,146.81,37.7,37,10.6,2.9,5.7,2.9,2025-08-24,2028-09-07,0,1,1
PRJ-0030,Power Transmission Project 30,Ministry of Jal Shakti,Power Transmission,Ongoing,196.24,314.08,249.84,32.7,60,8.7,46.8,60.0,46.8,2024-04-08,2029-03-13,1,1,1
PRJ-0031,Oil & Gas Project 31,Ministry of Power,Oil & Gas,Ongoing,144.4,206.13,112.8,43.7,36,0.9,11.1,42.7,11.1,2024-12-07,2027-11-22,1,0,1
